Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.81     0.00   193739     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find(char, unsigned long) const
  0.00      0.81     0.00   173212     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.81     0.00   169920     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find(char const*, unsigned long) const
  0.00      0.81     0.00   150194     0.00     0.00  bool std::_Function_base::_Base_manager<EventPoll::handle_client_data(req_context*)::{lambda()#1}>::_M_not_empty_function<EventPoll::handle_client_data(req_context*)::{lambda()#1}>(EventPoll::handle_client_data(req_context*)::{lambda()#1} const&) [clone .constprop.0]
  0.00      0.81     0.00   146296     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::remove_suffix(unsigned long)
  0.00      0.81     0.00   146056     0.00     0.00  std::vector<std::pair<std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> > >, std::allocator<std::pair<std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> > > > >::end()
  0.00      0.81     0.00   145825     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::remove_prefix(unsigned long)
  0.00      0.81     0.00   145792     0.00     0.00  std::pair<std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> > >::pair<std::basic_string_view<char, std::char_traits<char> >&, std::basic_string_view<char, std::char_traits<char> >&, true>(std::basic_string_view<char, std::char_traits<char> >&, std::basic_string_view<char, std::char_traits<char> >&)
  0.00      0.81     0.00   145586     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find_last_not_of(char const*, unsigned long, unsigned long) const
  0.00      0.81     0.00   145323     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find_first_not_of(char const*, unsigned long, unsigned long) const
  0.00      0.81     0.00   145313     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find_last_not_of(char const*, unsigned long) const
  0.00      0.81     0.00   145149     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find_first_not_of(char const*, unsigned long) const
  0.00      0.81     0.00   123161     0.00     0.00  std::_Any_data::_M_access() const
